   category  currentStock  dailySales30dAvg  dailySales90dAvg lastReorderDate lastSaleDate  leadTimeDays  marginPct  reorderPoint  reorderQty  seasonalIndex      skuId                             skuName  stockoutDaysLast90d                supplier  unitCost  unitPrice  regra_bomba  regra_sazonal  regra_zumbi  score_risco
    APPAREL            12              1.44              1.56      2026-02-23   2026-03-27             3       18.3             5          52           1.16 SKU-007055                      Meia Silver GG                    0   Distribuidora Central    158.33     193.76        False          False        False            0
    APPAREL           137              2.36              2.12      2026-02-04   2026-03-25            21       41.7            57          86           1.05 SKU-007065                      TÛnis Vivace P                    0       AtacadÒo Nordeste    110.82     190.14        False          False        False            0
    APPAREL           133              0.00              0.15      2026-02-10   2025-10-24             7       20.3             1           1           0.91 SKU-007067                   Camiseta Silver P                    0       AtacadÒo Nordeste     99.23     124.50        False          False         True            0
    APPAREL            64              2.82              2.90      2025-12-04   2026-03-30            10       61.9            36         163           0.98 SKU-007077                  Camiseta Natural M                    0        Alianþa ComÚrcio     93.82     246.51        False          False        False            0
    APPAREL           293             13.88             11.12      2026-02-06   2026-03-28            10       57.0           162         621           1.02 SKU-007080                  Camiseta TopMark P                    0         TopParts Brasil    189.80     441.28        False          False        False            0
    APPAREL           256             20.92             12.53      2025-10-18   2026-03-30             5       27.1            86         424           0.89 SKU-007099                         TÛnis Eco G                    0      Ind·stria Reunidas     53.88      73.92        False          False        False            0
    APPAREL           391             10.70              9.37      2026-03-09   2026-03-29            21       23.5           273         496           1.00 SKU-007110                       TÛnis Fresh G                    0       AtacadÒo Nordeste    101.30     132.37        False          False        False            0
    APPAREL           255              6.40              6.86      2025-12-15   2026-03-27            14       50.7           118         311           1.04 SKU-007120                   TÛnis Nordeste 42                    0  Ponto Forte Atacadista    105.50     214.15        False          False        False            0
    APPAREL           592             41.35             26.58      2025-10-27   2026-03-28             7       23.1           240        1140           1.03 SKU-007121                     Camiseta Plus P                    0  Ponto Forte Atacadista     53.78      69.93        False          False        False            0
    APPAREL            30              2.46              1.99      2025-12-04   2026-03-26            10       28.9            29          66           0.94 SKU-007136                     Bermuda Plus 40                    0            Stock Direct    169.51     238.43        False          False        False            0
    APPAREL            11              0.71              0.63      2025-10-23   2026-03-25            10       64.2            10          31           0.92 SKU-007151                        TÛnis Maxi G                    0   VivaMais DistribuiþÒo    127.98     357.60        False          False        False            0
    APPAREL           640              7.82              3.42      2025-10-13   2026-03-26            30       61.0           268         346           1.32 SKU-007152                 Camiseta Nordeste P                    0       AtacadÒo Nordeste     51.59     132.23        False          False        False            0
    APPAREL            59              0.00              0.09             NaN   2026-02-13             7       52.9             1           1           0.87 SKU-007158                   Bermuda Silver GG                    0   Distribuidora Central    153.19     325.22        False          False        False            0
    APPAREL           360              7.97              6.79      2025-11-19   2026-03-29            21       29.6           245         437           1.23 SKU-007197                      Bermuda Pro GG                    1  Ponto Forte Atacadista    124.82     177.25        False          False        False            0
    APPAREL            55              2.05              2.50      2025-10-25   2026-03-28            21       39.2            53          53           1.22 SKU-007208                     Meia Natural 42                    0       Comercial Vit¾ria     38.38      63.14        False          False        False            0
    APPAREL            11              0.73              0.77      2025-12-16   2026-03-24             7       57.4             6          22           0.87 SKU-007211                   Bermuda Vivace 42                    0  Ponto Forte Atacadista    168.38     395.23        False          False        False            0
    APPAREL            11              1.09              1.16      2026-01-16   2026-03-28             7       54.9            10          53           1.24 SKU-007218                  Camiseta Aurora GG                    0      Ind·stria Reunidas    155.88     345.55        False          False        False            0
    APPAREL            95              7.26              7.67      2025-11-08   2026-03-25             5       56.6            45         216           0.81 SKU-007255                      TÛnis Vivace G                    0         TopParts Brasil     61.66     142.09        False          False        False            0
    APPAREL           400              6.45              5.93      2026-01-26   2026-03-25            30       48.9           229         229           0.79 SKU-007258                      TÛnis Fresh 38                    0      Ind·stria Reunidas    172.36     337.10        False          False        False            0
    APPAREL          1312             49.00             27.98      2026-02-13   2026-03-24            14       54.3           541        1975           1.00 SKU-007276                   Bermuda Premium P                    0         MaxiSuprimentos    162.03     354.70        False          False        False            0
    APPAREL            22              2.77              2.42      2025-11-19   2026-03-29             5       33.2            17          96           1.20 SKU-007281                      Bermuda Maxi M                    0 PrimeFood Distribuidora    165.77     248.04        False          False        False            0
    APPAREL           148              0.00              0.17      2026-01-30   2025-11-27             3       46.8             1           1           1.18 SKU-007282                     Meia TopMark 38                    0       Comercial Vit¾ria     87.13     163.90        False          False         True            0
    APPAREL            14              2.37              2.43      2026-03-01   2026-03-24             3       50.3             8         102           1.10 SKU-007292                  Bermuda TopMark 42                    0       AtacadÒo Nordeste     97.80     196.59        False          False        False            0
    APPAREL           157              0.00              0.00             NaN   2025-11-28             5       57.8             1           1           0.72 SKU-007293                   Camiseta Fresh GG                    0         TopParts Brasil    133.89     317.38        False          False         True            0
    APPAREL            27              2.46              2.39      2026-01-02   2026-03-28             7       31.1            22          50           0.92 SKU-007310                   Bermuda Silver 42                    1  Ponto Forte Atacadista     51.97      75.37        False          False        False            0
    APPAREL           145             11.57             10.24      2025-10-25   2026-03-31             5       34.7            71         549           1.12 SKU-007312                        Meia Fresh P                    0   VivaMais DistribuiþÒo    136.88     209.68        False          False        False            0
    APPAREL            37              2.51              2.04      2026-03-22   2026-03-28             7       46.1            21         130           1.02 SKU-007328                    Meia Original 42                    0            GlobalSupply    161.97     300.34        False          False        False            0
    APPAREL           616             38.84             19.84      2025-11-29   2026-03-31             7       29.8           169        1096           0.92 SKU-007335                      TÛnis Fresh 40                    0       Comercial Vit¾ria    188.50     268.55        False          False        False            0
    APPAREL            24              3.63              4.22      2026-01-29   2026-03-25             3       64.2            12         187           1.02 SKU-007354                      Camiseta Sul P                    2        Alianþa ComÚrcio     35.68      99.79        False          False        False            0
    APPAREL           139              8.64              8.23      2025-12-05   2026-03-26             7       63.3            73         185           1.01 SKU-007378                        Meia Mini GG                    0            Stock Direct    131.83     359.08        False          False        False            0
    APPAREL            13              1.08              1.16      2025-11-28   2026-03-31             5       33.2             7          38           1.04 SKU-007395                 Bermuda PrimaCare M                    0         MaxiSuprimentos     82.26     123.16        False          False        False            0
    APPAREL           344              9.21             10.45      2026-02-15   2026-03-27            14       59.9           144         371           1.24 SKU-007403                      Meia TopMark M                    0       Comercial Vit¾ria     98.50     245.70        False          False        False            0
    APPAREL           118             30.83             33.32      2025-11-20   2026-03-30            14       46.6           594         704           1.07 SKU-007412                    Camiseta Plus 38                    1         TopParts Brasil    156.30     292.55         True          False        False           85
    APPAREL            33              2.44              2.08      2026-01-06   2026-03-25             5       49.2            14         105           1.07 SKU-007413                     Camiseta Plus P                    0       Comercial Vit¾ria    122.79     241.59        False          False        False            0
    APPAREL            46              2.39              2.04      2026-02-27   2026-03-29             7       59.1            21         102           1.24 SKU-007439                      Bermuda Vita G                    0      Casa & Lar Atacado    183.03     447.67        False          False        False            0
    APPAREL            39              3.75              2.95      2026-02-02   2026-03-25             7       58.3            38         186           1.14 SKU-007460                     Meia Original P                    0      Ind·stria Reunidas    144.78     346.86        False          False        False            0
    APPAREL             4              0.57              0.69      2026-01-10   2026-03-26             3       62.8             1          12           1.02 SKU-007467                       TÛnis Mini 42                    0   VivaMais DistribuiþÒo     73.66     198.21        False          False        False            0
    APPAREL           654             10.68             11.51      2026-01-30   2026-03-24            21       41.0           282         616           0.81 SKU-007493                        TÛnis Eco GG                    0         TopParts Brasil    169.94     287.88        False          False        False            0
    APPAREL            80              9.74              8.22      2025-11-28   2026-03-26             7       59.1            79         356           0.72 SKU-007505                Camiseta PrimaCare G                   20      Casa & Lar Atacado     19.19      46.90        False          False        False            0
    APPAREL           365             14.64             11.88      2025-10-29   2026-03-28            10       36.2           216         400           0.73 SKU-007518                    Bermuda Fresh 40                    0 PrimeFood Distribuidora     37.89      59.43        False          False        False            0
    APPAREL           164              2.17              1.80      2025-10-18   2026-03-25            30       22.6            89          89           1.15 SKU-007530                    TÛnis Premium 38                    0       Comercial Vit¾ria    121.68     157.22        False          False        False            0
    APPAREL            43             11.44              4.15      2025-11-14   2026-03-24             5       50.5            66         678           1.34 SKU-007531                         Meia Pro 38                    0            Stock Direct     41.88      84.68         True           True        False          100
    APPAREL            14              1.88              2.19      2025-12-04   2026-03-30             5       42.6            11          83           0.80 SKU-007537                       TÛnis Vita GG                    0       Comercial Vit¾ria    197.91     345.05        False          False        False            0
    APPAREL           249             14.37              5.03      2026-02-04   2026-03-25             7       40.4           125         853           1.83 SKU-007546                   Bermuda Natural M                    0         MaxiSuprimentos     79.52     133.38        False          False        False            0
    APPAREL           131             15.05             11.78      2026-01-20   2026-03-26             3       61.5            56         475           1.05 SKU-007554                     Bermuda Maxi 40                    1       AtacadÒo Nordeste    157.61     409.88        False          False        False            0
    APPAREL           173              9.15             10.15      2026-03-13   2026-03-25             7       62.4            94         438           0.89 SKU-007585                        TÛnis Plus G                    0       AtacadÒo Nordeste     43.86     116.61        False          False        False            0
    APPAREL            56              2.79              2.36      2025-10-27   2026-03-31             7       43.3            23         101           0.71 SKU-007617                    Meia PrimaCare G                    0   Distribuidora Central     76.77     135.51        False          False        False            0
    APPAREL            80              3.01              2.40      2026-01-16   2026-03-27            10       19.6            43          70           0.87 SKU-007619                 Bermuda Original 40                    0            Stock Direct    118.97     147.95        False          False        False            0
    APPAREL            45             20.72              7.76      2025-12-22   2026-03-28             3       44.5            78         733           1.37 SKU-007622                     Meia Original M                   10   VivaMais DistribuiþÒo    196.61     354.03         True           True        False          100
    APPAREL          1172             21.31             11.64      2026-03-13   2026-03-30            21       24.5           335        1050           0.78 SKU-007632                   TÛnis Original 42                    0      Casa & Lar Atacado    174.78     231.39        False          False        False            0
    APPAREL           296              8.41              6.95      2025-12-19   2026-03-31            21       25.7           230         232           0.78 SKU-007634                  Bermuda TopMark 42                    0      Ind·stria Reunidas    182.68     245.73        False          False        False            0
    APPAREL            70             10.04             11.68      2026-02-12   2026-03-28             3       44.0            33         275           1.02 SKU-007636                     TÛnis Silver 40                    1            GlobalSupply    131.98     235.57        False          False        False            0
    APPAREL            55              0.00              0.08      2025-12-28   2026-01-01             5       41.3             1           1           1.09 SKU-007641                   Meia PrimaCare 40                    0        Alianþa ComÚrcio    170.55     290.36        False          False         True            0
    APPAREL            22              1.29              1.35      2026-03-16   2026-03-26            10       31.6            14          44           1.23 SKU-007644                       Meia Fresh GG                    0         TopParts Brasil    103.42     151.27        False          False        False            0
    APPAREL           188             23.61             24.03      2025-11-24   2026-03-30             3       22.6            78        1092           0.72 SKU-007651                     Meia Natural GG                    0         MaxiSuprimentos     40.59      52.44        False          False        False            0
    APPAREL            68              3.08              3.42      2026-03-11   2026-03-27            10       39.0            34         126           1.07 SKU-007654                      Meia Premium G                    0      Ind·stria Reunidas    188.00     308.42        False          False        False            0
    APPAREL            46              2.76              2.96      2026-03-23   2026-03-27             7       58.4            25          63           0.95 SKU-007676                   Camiseta Master G                    5 PrimeFood Distribuidora    103.01     247.64        False          False        False            0
    APPAREL           137              8.35              8.09      2026-01-25   2026-03-30            10       47.1            99         433           0.77 SKU-007690                     TÛnis Silver 38                    0 PrimeFood Distribuidora     69.55     131.48        False          False        False            0
    APPAREL          1096             13.40              5.11      2026-03-06   2026-03-26            30       54.4           496         496           1.82 SKU-007702                       Meia Vivace G                    0         TopParts Brasil     45.55      99.78        False          False        False            0
    APPAREL           127              8.82             10.04      2025-12-04   2026-03-27            10       39.0           126         420           1.22 SKU-007715                          Meia Pro M                    0   VivaMais DistribuiþÒo     77.96     127.75        False          False        False            0
    APPAREL           292              6.38              6.95      2026-02-25   2026-03-28            21       26.7           165         173           0.83 SKU-007720                  Camiseta Silver 42                    0   VivaMais DistribuiþÒo     23.40      31.90        False          False        False            0
    APPAREL            87              0.00              0.02      2026-02-05   2025-11-10            14       49.8             1           1           0.86 SKU-007723                    Camiseta Maxi 40                    0            GlobalSupply    102.12     203.29        False          False         True            0
    APPAREL            18              1.72              2.24      2026-03-11   2026-03-27             5       43.4            12          54           1.22 SKU-007725                        Meia Gold 40                    0            Stock Direct     15.77      27.85        False          False        False            0
    APPAREL           199             10.02              8.13      2025-12-11   2026-03-28            14       39.4           198         600           1.16 SKU-007742                        TÛnis Plus M                    0  Ponto Forte Atacadista     45.45      74.98        False          False        False            0
    APPAREL           537              6.30              6.28      2026-01-22   2026-03-29            30       33.2           243         243           1.14 SKU-007749                   Bermuda Master 38                    0            Stock Direct    160.53     240.15        False          False        False            0
    APPAREL            64              2.43              1.93      2026-03-18   2026-03-31            10       42.9            31         137           0.77 SKU-007761                    Bermuda Silver P                    0        Alianþa ComÚrcio    176.34     308.75        False          False        False            0
    APPAREL           107             13.45             10.83      2026-02-04   2026-03-24             5       21.7            75         508           0.70 SKU-007762                      Meia TopMark G                    0      Casa & Lar Atacado     74.35      94.95        False          False        False            0
    APPAREL           371             11.50             10.03      2026-03-02   2026-03-28            21       20.3           362         688           0.96 SKU-007766                       TÛnis Fresh P                    1            Stock Direct    160.25     201.06        False          False        False            0
    APPAREL            81              8.26              9.09      2025-11-20   2026-03-30             7       27.4            80         282           1.23 SKU-007769                     Camiseta Pro 42                    0   Distribuidora Central     39.48      54.36        False          False        False            0
    APPAREL            88             11.01              9.46      2026-01-16   2026-03-25             5       57.7            60         444           0.78 SKU-007770                      Bermuda Plus M                    0       Comercial Vit¾ria     27.67      65.43        False          False        False            0
    APPAREL           121              4.87              3.84      2025-10-14   2026-03-31            14       38.5            80         207           0.90 SKU-007796                  Bermuda Nordeste P                    0      Casa & Lar Atacado    185.63     301.92        False          False        False            0
    APPAREL            52              2.04              2.83      2026-03-16   2026-03-28            10       24.6            23         121           0.81 SKU-007810                   Bermuda Aurora GG                    0   VivaMais DistribuiþÒo    149.40     198.02        False          False        False            0
    APPAREL           145              2.02              2.36      2025-12-21   2026-03-26            30       35.1            87         106           1.05 SKU-007829                      Meia Vivace 40                    0         TopParts Brasil     69.20     106.61        False          False        False            0
    APPAREL            28              1.97              1.64      2025-11-06   2026-03-25             7       52.8            18          48           1.24 SKU-007831                         Meia Plus P                    0        Alianþa ComÚrcio     97.39     206.13        False          False        False            0
    APPAREL           504             12.73              6.33      2026-01-16   2026-03-25            30       57.2           459         459           1.85 SKU-007852                        TÛnis Sul 40                    0            Stock Direct     37.66      87.90        False          False        False            0
    APPAREL            15              1.92              2.20      2025-10-23   2026-03-31             5       47.1            14         109           0.92 SKU-007859                       Bermuda Pro M                    0      Casa & Lar Atacado    188.15     355.77        False          False        False            0
    APPAREL            14              1.26              1.63      2026-01-21   2026-03-26             5       19.4             9          58           1.22 SKU-007894                     Camiseta Sul 38                    0        Alianþa ComÚrcio     29.92      37.13        False          False        False            0
    APPAREL            16              0.51              0.55      2026-03-18   2026-03-30            14       30.0             9          21           0.79 SKU-007904                    Camiseta Fresh G                    0       Comercial Vit¾ria     45.09      64.38        False          False        False            0
    APPAREL           161              3.57              3.67      2026-02-15   2026-03-26            21       39.1            96         109           0.73 SKU-007906                        Meia Vita GG                    0            Stock Direct     99.50     163.49        False          False        False            0
    APPAREL            59              2.96              2.70      2026-01-29   2026-03-25             7       52.7            23         164           0.76 SKU-007912                     TÛnis Vivace GG                    5         MaxiSuprimentos     18.92      40.03        False          False        False            0
    APPAREL           243              7.83              8.81      2025-10-26   2026-03-30            14       59.0           122         272           1.14 SKU-007942                          Meia Pro G                    0      Casa & Lar Atacado     48.55     118.41        False          False        False            0
    APPAREL           124             13.95              6.82      2026-02-01   2026-03-25             7       43.9           123         324           1.63 SKU-007951                         Meia Mini G                    0       AtacadÒo Nordeste     33.93      60.47        False          False        False            0
    APPAREL            53              4.55              4.60      2025-10-18   2026-03-24             7       20.6            44          95           1.23 SKU-007965                        Meia Vita 42                    0      Casa & Lar Atacado    150.69     189.81        False          False        False            0
    APPAREL            36              2.87              3.53      2025-12-02   2026-03-25            10       37.8            35         156           1.03 SKU-007981                     Bermuda Maxi 38                    0  Ponto Forte Atacadista     77.50     124.54        False          False        False            0
    APPAREL           157              7.73              6.70      2026-02-11   2026-03-25             7       29.1            68         236           0.76 SKU-008007                      Bermuda Gold G                    0      Casa & Lar Atacado    145.86     205.83        False          False        False            0
    APPAREL            10              1.44              1.27      2026-02-19   2026-03-31             3       32.1             5          64           1.11 SKU-008015                         Meia Vita M                    0      Ind·stria Reunidas     73.39     108.12        False          False        False            0
    APPAREL            18              1.90              2.62      2025-12-14   2026-03-26             7       32.3            14          74           0.84 SKU-008019                Camiseta Original GG                    0            GlobalSupply     32.91      48.64        False          False        False            0
    APPAREL           180              8.40              9.47      2025-11-07   2026-03-31            10       23.9           112         413           1.04 SKU-008022                  Camiseta Master 38                    0      Ind·stria Reunidas     28.00      36.78        False          False        False            0
    APPAREL           138              8.36              8.77      2025-12-22   2026-03-24             7       39.2            77         361           0.84 SKU-008035                  TÛnis PrimaCare GG                    0  Ponto Forte Atacadista     62.39     102.65        False          False        False            0
    APPAREL           194             10.49              9.61      2025-12-11   2026-03-24             7       29.0            99         283           0.99 SKU-008038                         Meia Sul 42                    0   VivaMais DistribuiþÒo    196.40     276.71        False          False        False            0
    APPAREL           545              7.59              6.40      2026-03-18   2026-03-26            30       22.4           277         277           1.00 SKU-008047                 Camiseta TopMark GG                    1      Casa & Lar Atacado     52.70      67.88        False          False        False            0
    APPAREL             6              0.54              0.51      2026-03-21   2026-03-31             7       31.7             5          16           0.81 SKU-008050                      Bermuda Plus P                    0         MaxiSuprimentos     99.64     145.88        False          False        False            0
    APPAREL           210              6.58              7.44      2026-03-11   2026-03-25            14       28.5           134         355           0.90 SKU-008052                    Camiseta Fresh G                    0      Casa & Lar Atacado     83.39     116.64        False          False        False            0
    APPAREL            24              1.76              1.93      2026-03-18   2026-03-24             5       23.1             9          60           1.01 SKU-008054                        TÛnis Gold P                    0       Comercial Vit¾ria     71.93      93.59        False          False        False            0
    APPAREL            48              2.47              2.33      2025-10-05   2026-03-25             7       63.3            25          78           1.10 SKU-008060                   TÛnis Original 42                    0   Distribuidora Central    189.45     516.16        False          False        False            0
    APPAREL            39              3.13              3.21      2026-01-08   2026-03-31             7       41.8            31          91           0.72 SKU-008080                      Bermuda Pro 38                    0  Ponto Forte Atacadista    179.38     308.14        False          False        False            0
    APPAREL            45              3.07              2.71      2026-01-15   2026-03-26             7       60.1            25          62           0.92 SKU-008102                     Bermuda Mini 38                    0            GlobalSupply    116.90     292.94        False          False        False            0
    APPAREL           102              6.84              6.38      2026-03-04   2026-03-29             7       42.7            56         235           1.01 SKU-008109                     Meia TopMark GG                    2            Stock Direct    171.65     299.82        False          False        False            0
    APPAREL            74             12.59              5.89      2026-03-24   2026-03-31            21       38.6           379         577           1.47 SKU-008130                       Meia Fresh 42                    0 PrimeFood Distribuidora     81.33     132.36         True           True        False           85
    APPAREL           143              0.00              0.27      2025-12-08   2026-01-01            14       19.5             1           1           1.17 SKU-008136                 Camiseta Premium 40                    2       Comercial Vit¾ria    133.87     166.33        False          False         True            0
    APPAREL            14             21.22             10.83      2025-11-01   2026-03-26            21       26.9           302         786           0.83 SKU-008137                        Meia Maxi 38                    5       AtacadÒo Nordeste     15.52      21.23         True          False        False           70
    APPAREL           122              2.28              2.55      2025-10-02   2026-03-27            21       59.1            63         106           0.93 SKU-008138                 Camiseta Natural 38                    0      Ind·stria Reunidas    195.99     478.64        False          False        False            0
    APPAREL            27              2.70              3.28      2026-02-13   2026-03-26             5       32.6            16          94           1.19 SKU-008139                     TÛnis TopMark G                    0      Casa & Lar Atacado    107.12     158.95        False          False        False            0
    APPAREL           102              5.01              4.08      2026-03-02   2026-03-26             7       18.4            46         160           1.11 SKU-008140                    Bermuda Master P                    0            GlobalSupply     37.89      46.43        False          False        False            0
    APPAREL            85              0.00              0.17      2026-01-28   2025-09-24             5       23.7             1           1           0.79 SKU-008142                     TÛnis Vivace 38                    0            GlobalSupply     87.18     114.30        False          False         True            0
    APPAREL           225              7.52              9.26      2026-03-07   2026-03-27            14       42.2           134         237           1.18 SKU-008148                   Bermuda Natural P                    0   Distribuidora Central     31.05      53.74        False          False        False            0
    APPAREL           115              0.00              0.10             NaN   2026-02-25            10       40.2             1           1           1.17 SKU-008153                       TÛnis Maxi 38                    0      Ind·stria Reunidas    193.28     323.40        False          False        False            0
    APPAREL            34              1.65              2.33      2025-12-21   2026-03-25             7       43.5            15          51           1.02 SKU-008160                    Bermuda Fresh 40                    0   Distribuidora Central     52.34      92.68        False          False        False            0
    APPAREL            73              3.59              2.93      2025-12-15   2026-03-27            14       38.6            72         124           0.85 SKU-008171                 Camiseta Natural 38                    0      Casa & Lar Atacado    128.94     210.17        False          False        False            0
    APPAREL           138              0.00              0.29      2025-12-10   2025-09-23             7       19.6             1           1           1.23 SKU-008173                      TÛnis Master G                    0 PrimeFood Distribuidora    112.51     139.86        False          False         True            0
    APPAREL            37              0.59              0.63      2026-03-22   2026-03-26            30       44.7            20          20           0.97 SKU-008174                    Camiseta Maxi 40                    0         TopParts Brasil    113.10     204.35        False          False        False            0
    APPAREL           120              8.50              8.82      2026-02-09   2026-03-24             5       55.6            56         424           1.15 SKU-008186                        TÛnis Mini M                    0       Comercial Vit¾ria    121.76     273.99        False          False        False            0
    APPAREL           118              1.48              2.05      2025-12-02   2026-03-28            30       59.4            55          55           0.87 SKU-008189                  Bermuda Natural 40                    5       Comercial Vit¾ria     21.74      53.61        False          False        False            0
    APPAREL            89              9.58              8.40      2026-02-11   2026-03-25             7       38.5            88         219           0.81 SKU-008197                 Camiseta Original M                    0       AtacadÒo Nordeste    117.61     191.19        False          False        False            0
    APPAREL            40              4.83              3.96      2025-11-27   2026-03-24             7       43.8            37         287           0.78 SKU-008198                      Bermuda Eco 38                    0      Casa & Lar Atacado     21.82      38.85        False          False        False            0
    APPAREL            77             10.62              4.11      2025-11-25   2026-03-25            14       23.2           180         629           1.33 SKU-008220                     Meia Natural 40                    3   Distribuidora Central     44.36      57.79         True           True        False           85
    APPAREL           201              9.79             11.53      2025-10-28   2026-03-28            10       62.3           131         537           1.09 SKU-008233                  Camiseta TopMark G                    0         TopParts Brasil    116.17     308.31        False          False        False            0
    APPAREL           198             12.30             10.20      2025-10-07   2026-03-27             7       32.2            98         561           0.96 SKU-008234                      Meia Silver 42                    0        Alianþa ComÚrcio     19.38      28.60        False          False        False            0
    APPAREL            87             24.03             23.07      2026-01-09   2026-03-27            14       52.9           429         571           1.18 SKU-008238                      Camiseta Eco P                   16  Ponto Forte Atacadista     69.61     147.93         True          False        False           85
    APPAREL            13              1.08              1.12      2025-12-12   2026-03-25             5       36.0             7          51           0.86 SKU-008239                        Meia Gold GG                    2        Alianþa ComÚrcio    116.15     181.48        False          False        False            0
    APPAREL             2             36.86             18.22      2026-01-08   2026-03-25             5       29.0           135        1659           1.14 SKU-008290                    TÛnis Nordeste P                    0         TopParts Brasil     66.31      93.38         True          False        False           70
    APPAREL            38              3.44              2.65      2026-02-21   2026-03-31             5       21.1            22         111           1.13 SKU-008312                   Bermuda Premium G                    0   VivaMais DistribuiþÒo    187.81     238.16        False          False        False            0
    APPAREL            37              2.15              1.75      2026-02-03   2026-03-30             7       64.3            21          63           0.89 SKU-008334                      Bermuda Sul 42                    1 PrimeFood Distribuidora    152.84     427.57        False          False        False            0
    APPAREL          2514             46.82             29.76      2025-10-23   2026-03-31            21       58.7           732        1533           0.80 SKU-008343                      Camiseta Sul P                    0            Stock Direct    113.30     274.51        False          False        False            0
    APPAREL            36              1.66              1.65      2025-12-22   2026-03-29            10       63.6            22          69           0.87 SKU-008345                   Bermuda Vivace 40                    5      Ind·stria Reunidas    179.15     492.50        False          False        False            0
